category,title,year,venue_or_source,focus,key_takeaway,url
why,"Electronic word-of-mouth via consumer-opinion platforms: What motivates consumers to articulate themselves on the Internet?",2004,"Journal of Interactive Marketing","General eWOM motivation","Concern for other consumers, social interaction, economic incentives, and self-enhancement are major drivers of review writing.","https://doi.org/10.1002/dir.10073"
why,"What Motivates Consumers to Write Online Travel Reviews?",2008,"Information Technology & Tourism","Travel review motivation","Travel review writers are mainly motivated by helping providers, helping other consumers, enjoyment, and positive self-enhancement.","https://doi.org/10.3727/109830508788403114"
why,"Online travel review posting intentions: a social exchange theory perspective",2021,"Leisure/Loisir","Travel review motivation and barriers","Altruism, reputation, economic rewards, and venting increase intent, while cognitive and executional costs reduce it.","https://doi.org/10.1080/14927713.2021.1924076"
why,"What motivates posting online travel reviews? Integrating gratifications with technological acceptance factors",2019,"Tourism and Hospitality Management","Travel review motivation and UX","Altruism, reciprocity, habit, hedonic motivation, and ease of use shape posting behavior.","https://hrcak.srce.hr/en/227726"
why,"Understanding Users' Urge to Post Online Reviews: A Study Based on Existence, Relatedness, and Growth Theory",2022,"SAGE Open","General online review motivation","Intrinsic motives such as helping others and supporting the website strongly affect the urge to post reviews.","https://doi.org/10.1177/21582440221129851"
why,"Motivation crowding in online product reviewing: A qualitative study of amazon reviewers",2019,"Information & Management","Interaction of intrinsic and extrinsic motives","Extrinsic rewards can either reinforce or crowd out intrinsic motivation.","https://doi.org/10.1016/j.im.2019.04.006"
why,"Identifying Factors Motivating Users to Post Reviews on Online Travel Review Platforms: A Factor Analysis Study",2025,"Mercados y Negocios","Recent travel review motivation","Peer support, social capital, and personal reasoning remain important drivers of travel review posting.","https://doi.org/10.32870/myn.vi54.7765"
why,"Altruism in eWOM: Propensity to Write Reviews on Hotel Experience",2023,"Journal of Theoretical and Applied Electronic Commerce Research","Hotel review motivation","Among hotel customers, altruism is the strongest underlying motivation to write reviews.","https://doi.org/10.3390/jtaer18040113"
who,"Exploring the antecedents for hospitality reviewers' trustworthiness and its impact on business patronage",2023,"International Journal of Hospitality Management","Reviewer trustworthiness","Reviewer trustworthiness is shaped by both reviewer profile information and qualitative text features.","https://doi.org/10.1016/j.ijhm.2023.103448"
who,"Examining the effect of reviewer expertise and personality on reviewer satisfaction: An empirical study of TripAdvisor",2021,"Computers in Human Behavior","Reviewer traits","Reviewer expertise and personality significantly shape review ratings and text sentiment.","https://doi.org/10.1016/j.chb.2020.106654"
who,"Hospitality and Tourism Online Review Research: A Systematic Analysis and Heuristic-Systematic Model",2018,"Sustainability","Meta review of hospitality online reviews","Source, review, context, and receiver cues jointly shape online review creation and interpretation.","https://doi.org/10.3390/su10041141"
who,"Conspicuous Reviewing: Affiliation with High-status Organizations as a Motivation for Writing Online Reviews",2018,"Socius","Status motives","Some reviewers write to make their consumption behavior publicly visible and status-relevant.","https://doi.org/10.1177/2378023118776848"
how,"TripAdvisor Launches Guide for Writing Helpful Reviews Based on Survey of More Than 100,000",2015,"Tripadvisor MediaRoom","Helpful review guidance","Travelers prefer reviews that are factual, detailed, recent, contextual, and balanced.","https://tripadvisor.mediaroom.com/2015-03-18-TripAdvisor-Launches-Guide-for-Writing-Helpful-Reviews-Based-On-Survey-of-More-Than-100-000"
how,"Research: What makes a helpful review",2015,"Tripadvisor Insights","Helpful review guidance","Lack of detail reduces helpfulness; context and personality help.","https://www.tripadvisor.com/TripAdvisorInsights/w753"
how,"Moderating effects of rating on text and helpfulness in online hotel reviews: an analytical approach",2021,"Journal of Hospitality Marketing & Management","Interaction of stars and text","Text and star ratings interact in shaping review helpfulness.","https://doi.org/10.1080/19368623.2020.1778596"
how,"Assessing the helpfulness of online hotel reviews: A classification-based approach",2019,"Journal of Business Research","Hotel review helpfulness","Review quality, sentiment, and reviewer characteristics jointly predict helpfulness.","https://doi.org/10.1016/j.jbusres.2017.10.045"
how,"The Determinants of Helpful Hotel Reviews: A Social Influence Perspective",2022,"Sustainability","Hotel review helpfulness","Review length, ratings, and social influence factors affect hotel review helpfulness.","https://doi.org/10.3390/su142214881"
how,"What makes an online consumer review helpful? A diagnosticity-adoption framework to explain informational and normative influences in e-WOM",2021,"Journal of the Academy of Marketing Science","General review helpfulness","Message cues and reviewer cues improve review diagnosticity and adoption.","https://doi.org/10.1007/s11747-019-00695-1"
how,"Navigating by the stars: Investigating the actual and perceived validity of online user ratings",2016,"Organizational Behavior and Human Decision Processes","Limits of star ratings","Star ratings alone can be misleading, which increases the value of richer textual reviews.","https://doi.org/10.1016/j.obhdp.2016.04.002"
how,"Rant or rave: variation over time in the language of online reviews",2024,"Language Resources and Evaluation","Language and helpfulness","Review length and submission conditions affect helpfulness; mobile-written reviews tend to be shorter and less helpful.","https://doi.org/10.1007/s10579-023-09652-5"
